process_id,process_name,domain,criticality_level,impact_financial_score,impact_reputational_score,impact_legal_regulatory_score,impact_operational_score,time_to_severe_impact,aggregate_impact_score,loss_scenario_id,loss_scenario_type,loss_scenario_description,affected_impact_dimensions,mtd_hours,rto_hours,rpo_minutes,minimum_operational_capacity,priority_tier
P018,Core Banking Ledger - Archives,Finance,Medium,2,2,3,2,>1 day,2,S018,Outage,Historical archive database unavailable,Legal+Operational,72,24,240,60,Tier2
P019,Reconciliation - Payments vs Ledger,Finance,High,4,3,4,4,<=1 business day,4,S019,Delay,Inability to reconcile payment positions by end-of-day,Finance+Legal+Operational,24,8,60,75,Tier1
P020,Reconciliation - Nostro/Vostro,Finance,High,4,3,4,4,<=1 business day,4,S020,Delay,Delayed reconciliation with correspondent banks,Finance+Legal+Operational,24,8,60,75,Tier1
P021,Reconciliation - Internal Accounts,Finance,Medium,3,2,3,3,>1 day,3,S021,Delay,Internal suspense accounts not reconciled for several days,Finance+Operational,72,24,240,70,Tier2
P022,Regulatory Reporting - Daily Liquidity,Reporting,High,4,3,5,3,<=1 business day,4,S022,Delay,Failure to produce daily liquidity reports on time,Legal+Finance,24,8,60,75,Tier1
P023,Regulatory Reporting - Capital Adequacy,Reporting,High,4,3,5,3,<=1 business day,4,S023,Delay,Regulatory capital report delayed or incomplete,Legal+Finance,24,8,60,75,Tier1
P024,Regulatory Reporting - Periodic Statistical,Reporting,Medium,2,2,3,2,>1 day,2,S024,Delay,Delay in non-critical statistical reporting,Legal+Operational,72,24,240,65,Tier2
P025,Customer Online Banking Frontend,Channels,Critical,4,5,3,4,Immediate,5,S025,Outage,Online and mobile banking UI unavailable,Reputation+Operational+Finance,2,0.5,15,90,Tier0
P026,Customer Notifications (SMS/Email),Channels,High,3,4,2,3,<=1 business day,3,S026,Delay,Delayed payment and security notifications,Reputation+Operational,24,8,60,75,Tier1
P027,Internal Reporting - Management Dashboards,Reporting,Medium,2,2,2,3,>1 day,2,S027,Outage,Management dashboards unavailable,Operational,72,24,240,60,Tier2
P028,Backup & Restore Platform,Infrastructure,Critical,5,3,4,4,<=2h,5,S028,Outage,Backup system unavailable preventing restore operations,Finance+Legal+Operational,4,2,30,85,Tier0
P029,Primary Data Center Network,Infrastructure,Critical,5,5,4,5,Immediate,5,S029,Outage,Core network outage in primary data center,Finance+Reputation+Operational,1,0.25,5,90,Tier0
P030,Secondary Data Center Network,Infrastructure,High,4,4,3,4,<=2h,4,S030,Outage,Secondary site network unavailable,Operational+Resilience,8,4,30,80,Tier1
P031,Database Platform - Payments,Infrastructure,Critical,5,4,5,4,<=2h,5,S031,Outage,Payments database cluster failure,Finance+Legal+Operational,2,1,15,85,Tier0
P032,Database Platform - IAM,Infrastructure,Critical,4,4,5,4,<=2h,5,S032,Outage,IAM database outage affecting authentication,Legal+Operational,2,0.5,15,85,Tier0
P033,Logging & Audit Trail,Infrastructure,High,4,3,5,3,<=1 business day,4,S033,Integrity loss,Loss of security and transaction logs,Legal+Operational,24,8,60,80,Tier1
P034,SIEM & Security Monitoring,Risk,High,4,3,4,4,<=2h,4,S034,Outage,SIEM offline preventing incident detection,Operational+Legal,8,4,30,80,Tier1
P035,HR & Payroll Systems,Support,Medium,3,2,2,3,>1 day,3,S035,Delay,Delayed payroll processing,Operational+Reputation,72,24,240,70,Tier2
P036,Procurement System,Support,Medium,2,2,2,3,>1 day,2,S036,Outage,Procurement platform unavailable,Operational,72,24,240,60,Tier2
P037,Document Management - Contracts,Support,High,3,3,4,3,<=1 business day,3,S037,Outage,Inability to access key contractual documents,Legal+Operational,24,8,60,70,Tier1
P038,KYC/Onboarding Platform,Risk,High,4,4,4,3,<=1 business day,4,S038,Outage,Customer onboarding halted due to KYC platform outage,Legal+Reputation+Operational,24,8,60,80,Tier1
P039,AML Transaction Monitoring,Risk,Critical,5,4,5,4,<=2h,5,S039,Outage,AML rules engine offline for transaction screening,Legal+Finance+Reputation,4,2,30,85,Tier0
P040,Archive & E-Discovery,Support,Medium,2,2,4,2,>1 day,3,S040,Delay,Delayed retrieval of archived records for legal requests,Legal+Operational,72,24,240,65,Tier2
